occurrenceID	scientificName	eventDate	verbatimEventDate	decimalLatitude	decimalLongitude	locality	minimumDepthInMeters	maximumDepthInMeters	coordinateUncertaintyInMeters	basisOfRecord	occurrenceStatus	identificationVerificationStatus	references	additionalReferences	modified	footprintWKT	occurrenceRemarks	eventRemarks
6ac653f3-1538-407d-b7f4-1bf5b47d5a88	Cylindrospermopsis raciborskii	2016-08-09		36.0625	-76.00163	Albemarle Sound near Frog Island, North Carolina, USA				HumanObservation	present	1 - good	North Carolina Divison of Water Resources Phytoplankton Database (NCDWR phyto data)					
28ec1549-69bc-43cd-a632-54dc091d3bcd	Cylindrospermopsis raciborskii	2014-08-05		35.404	-76.765	Pamlico River at light near Gum Point, North Carolina, USA				HumanObservation	present	1 - good	North Carolina Divison of Water Resources Phytoplankton Database (NCDWR phyto data)					
8239a57c-ddd0-437a-bd20-0d2de6a36364	Cylindrospermum stagnale	1969/1979				On damp earth throughout the western half of North Carolina, USA				HumanObservation	present	1 - good	"A Manual of Fresh-Water Algae" (1984) L. Whitford and G. Schumacher. Sparks Press, Raleigh, North Carolina, USA. Page 143					
2a15d535-b8ba-44e8-9176-5ad36dbddef3	Cylindrospermum stagnale	1940/1967				Common throughout North Carolina, USA				HumanObservation	present	1 - good	"The Myxophyceae of North Carolina" (1967) E. Cocke. Edwards Brothers, Inc. Ann Arbor, Michigan, USA. Page 83				Common on moist earth and shallow water	
96838639-b32f-49e5-8035-d06422f33ee0	Dinophysis acuminata	1984/2004		38.239	-76.0978	Chesapeake Bay, USA (Maryland and Virginia)				HumanObservation	present	1 - good	Journal of Plankton Research (2005) 27:1083-1102			LINESTRING (-76.3385 39.2875, -76.2231 37.1866)		
b490aafe-893f-4607-830a-5a9880eacc43	Dinophysis acuminata	2003-12-02		38.4096	-75.1778	St. Martin Creek, Maryland, USA				HumanObservation	present	1 - good	Maryland's Coastal Bays: Ecosystem Health Assessment 2004, Chapter 7, 2005					
130d76a5-9b1b-4d56-9046-b2e40f325cb3	Dinophysis acuta	1984/2004		38.239	-76.0978	Chesapeake Bay, USA (Maryland and Virginia)				HumanObservation	present	1 - good	Journal of Plankton Research (2005) 27:1083-1102			LINESTRING (-76.3385 39.2875, -76.2231 37.1866)		
ffe92167-d3ae-4ae1-a08c-feb20a78d0c0	Dinophysis acuta	2001/2003		38.4096	-75.1778	St. Martin River, Maryland, USA				HumanObservation	present	1 - good	Maryland's Coastal Bays: Ecosystem Health Assessment 2004, Chapter 7, 2005			LINESTRING (38.4096 -75.1778, 38.3897 -75.0974)		
17ec2934-2b2a-45b1-af39-acc823b8df5e	Dinophysis caudata	1984/2004		38.239	-76.0978	Chesapeake Bay, USA (Maryland and Virginia)				HumanObservation	present	1 - good	Journal of Plankton Research (2005) 27:1083-1102			LINESTRING (-76.3385 39.2875, -76.2231 37.1866)		
bfbf81e5-30cf-4bde-ba80-76802d887f09	Dinophysis caudata	2001/2003		38.4096	-75.1778	St. Martin River, Maryland, USA				HumanObservation	present	1 - good	Maryland's Coastal Bays: Ecosystem Health Assessment 2004, Chapter 7, 2005			LINESTRING (38.4096 -75.1778, 38.3897 -75.0974)		
d5373440-5328-4839-8a14-534da36d83ed	Dinophysis fortii	1984/2004		38.239	-76.0978	Chesapeake Bay, USA (Maryland and Virginia)				HumanObservation	present	1 - good	Journal of Plankton Research (2005) 27:1083-1102			LINESTRING (-76.3385 39.2875, -76.2231 37.1866)		
18df588c-859f-4ee5-9269-d5d221b19328	Dinophysis fortii	1992/1997		42.3257	-70.7881	Massachusetts Bay, Massachusetts, USA				HumanObservation	present	1 - good	Massachusetts Bay Plankton Communities: Characterization and Discussion of Issues Relative to MWRA's Outfall Relocation (1998) Report ENQUAD 98-08					
